#std std_nospill safe safe_nospill data simplified 
0.095938 0.093242 0.114589 0.113328 0.093559 0.096398 
0.096036 0.093425 0.114729 0.113342 0.093657 0.096447 
0.096037 0.093448 0.114772 0.113351 0.093744 0.096473 
0.096108 0.093516 0.114790 0.113411 0.093746 0.096548 
0.096154 0.093526 0.114827 0.113442 0.093746 0.096556 
0.096160 0.093559 0.114842 0.113459 0.093758 0.096604 
0.096201 0.093597 0.114867 0.113496 0.093766 0.096621 
0.096268 0.093617 0.114891 0.113512 0.093791 0.096647 
0.096330 0.093631 0.114898 0.113528 0.093796 0.096657 
0.096334 0.093633 0.114899 0.113588 0.093803 0.096657 
0.096363 0.093656 0.114916 0.113591 0.093804 0.096667 
0.096364 0.093714 0.114928 0.113600 0.093824 0.096685 
0.096393 0.093724 0.114931 0.113618 0.093831 0.096695 
0.096409 0.093730 0.114987 0.113620 0.093838 0.096726 
0.096410 0.093768 0.115003 0.113621 0.093849 0.096728 
0.096426 0.093769 0.115005 0.113631 0.093905 0.096730 
0.096451 0.093772 0.115006 0.113646 0.093905 0.096742 
0.096455 0.093779 0.115024 0.113684 0.093906 0.096754 
0.096456 0.093783 0.115043 0.113692 0.093929 0.096763 
0.096478 0.093789 0.115043 0.113692 0.093930 0.096793 
0.096488 0.093817 0.115049 0.113716 0.093942 0.096804 
0.096490 0.093817 0.115057 0.113732 0.093971 0.096816 
0.096494 0.093833 0.115070 0.113737 0.093976 0.096822 
0.096528 0.093843 0.115071 0.113761 0.093982 0.096827 
0.096535 0.093854 0.115073 0.113766 0.093995 0.096861 
0.096570 0.093876 0.115074 0.113774 0.094002 0.096863 
0.096572 0.093876 0.115079 0.113781 0.094002 0.096887 
0.096579 0.093883 0.115082 0.113781 0.094007 0.096894 
0.096579 0.093884 0.115087 0.113782 0.094021 0.096894 
0.096608 0.093888 0.115093 0.113784 0.094026 0.096898 
0.096662 0.093900 0.115116 0.113795 0.094031 0.096941 
0.096667 0.093902 0.115125 0.113795 0.094039 0.096957 
0.096669 0.093904 0.115131 0.113799 0.094074 0.096962 
0.096684 0.093914 0.115136 0.113810 0.094083 0.096983 
0.096685 0.093944 0.115140 0.113812 0.094108 0.096990 
0.096706 0.093944 0.115148 0.113818 0.094117 0.096993 
0.096710 0.093961 0.115164 0.113819 0.094118 0.096996 
0.096730 0.093962 0.115177 0.113828 0.094121 0.097003 
0.096734 0.093965 0.115178 0.113836 0.094141 0.097004 
0.096742 0.093976 0.115186 0.113838 0.094142 0.097019 
0.096754 0.093984 0.115200 0.113853 0.094161 0.097026 
0.096760 0.094002 0.115219 0.113865 0.094178 0.097026 
0.096777 0.094012 0.115224 0.113874 0.094180 0.097029 
0.096777 0.094018 0.115226 0.113888 0.094192 0.097030 
0.096796 0.094036 0.115229 0.113896 0.094212 0.097037 
0.096797 0.094055 0.115229 0.113902 0.094216 0.097039 
0.096809 0.094063 0.115231 0.113904 0.094234 0.097039 
0.096815 0.094067 0.115233 0.113918 0.094234 0.097046 
0.096816 0.094110 0.115234 0.113924 0.094242 0.097053 
0.096817 0.094112 0.115237 0.113927 0.094245 0.097058 
0.096820 0.094119 0.115240 0.113932 0.094260 0.097063 
0.096850 0.094125 0.115248 0.113939 0.094263 0.097063 
0.096852 0.094133 0.115267 0.113952 0.094279 0.097068 
0.096856 0.094139 0.115280 0.113956 0.094284 0.097071 
0.096865 0.094155 0.115297 0.113959 0.094285 0.097071 
0.096878 0.094176 0.115324 0.113960 0.094294 0.097084 
0.096894 0.094191 0.115336 0.113961 0.094304 0.097087 
0.096905 0.094198 0.115347 0.113962 0.094308 0.097092 
0.096906 0.094206 0.115356 0.113973 0.094327 0.097092 
0.096928 0.094214 0.115369 0.113978 0.094341 0.097097 
0.096950 0.094228 0.115378 0.113984 0.094346 0.097110 
0.096952 0.094229 0.115389 0.113999 0.094346 0.097117 
0.096959 0.094237 0.115394 0.114009 0.094351 0.097118 
0.096962 0.094238 0.115401 0.114014 0.094356 0.097119 
0.097003 0.094253 0.115407 0.114016 0.094358 0.097125 
0.097006 0.094265 0.115417 0.114018 0.094359 0.097125 
0.097032 0.094267 0.115418 0.114035 0.094363 0.097133 
0.097032 0.094268 0.115435 0.114042 0.094369 0.097134 
0.097055 0.094272 0.115437 0.114046 0.094369 0.097147 
0.097072 0.094301 0.115442 0.114048 0.094373 0.097149 
0.097079 0.094309 0.115462 0.114061 0.094376 0.097149 
0.097091 0.094338 0.115462 0.114102 0.094397 0.097151 
0.097102 0.094372 0.115509 0.114120 0.094398 0.097168 
0.097112 0.094417 0.115510 0.114204 0.094398 0.097174 
0.097128 0.094429 0.115510 0.114206 0.094398 0.097221 
0.097133 0.094431 0.115550 0.114229 0.094405 0.097223 
0.097139 0.094446 0.115564 0.114266 0.094414 0.097246 
0.097182 0.094449 0.115578 0.114288 0.094414 0.097249 
0.097182 0.094458 0.115623 0.114391 0.094420 0.097257 
0.097192 0.094506 0.115645 0.114412 0.094424 0.097276 
0.097198 0.094532 0.115662 0.114417 0.094427 0.097276 
0.097230 0.094563 0.115716 0.114452 0.094428 0.097305 
0.097241 0.094570 0.115755 0.114453 0.094441 0.097320 
0.097267 0.094581 0.115793 0.114473 0.094441 0.097334 
0.097288 0.094620 0.115802 0.114538 0.094480 0.097363 
0.097310 0.094648 0.115833 0.114577 0.094488 0.097429 
0.097324 0.094649 0.115848 0.114584 0.094513 0.097442 
0.097415 0.094741 0.115911 0.114617 0.094537 0.097497 
0.097504 0.094749 0.115911 0.114732 0.094559 0.097504 
0.097539 0.094777 0.115942 0.114807 0.094626 0.097653 
0.097553 0.094783 0.116022 0.115068 0.094799 0.097672 
0.097555 0.094897 0.116029 0.115104 0.094805 0.097713 
0.097569 0.095004 0.116053 0.115106 0.094879 0.097835 
0.097649 0.095135 0.116161 0.115153 0.094993 0.097952 
0.097800 0.095236 0.116169 0.115158 0.095034 0.097984 
0.097944 0.095266 0.116180 0.115229 0.095198 0.098012 
0.097986 0.095267 0.116223 0.115357 0.095203 0.098133 
0.098226 0.095344 0.116388 0.116987 0.095316 0.098134 
0.098631 0.095436 0.116683 0.117242 0.095929 0.098358 
0.099767 0.095658 0.122454 0.121498 0.101988 0.107084 

