std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.085432 0.079782 0.079092 0.080799 0.086761 
0.085520 0.079816 0.079250 0.080830 0.086769 
0.085589 0.079853 0.079250 0.080854 0.086828 
0.085594 0.079855 0.079252 0.080902 0.086828 
0.085680 0.079868 0.079256 0.080902 0.086888 
0.085691 0.079884 0.079302 0.080912 0.086894 
0.085701 0.079885 0.079309 0.080919 0.086899 
0.085702 0.079923 0.079321 0.080924 0.086906 
0.085709 0.079929 0.079352 0.080963 0.086913 
0.085717 0.079930 0.079366 0.080967 0.086915 
0.085721 0.079933 0.079374 0.080972 0.086923 
0.085731 0.079939 0.079376 0.080974 0.086937 
0.085750 0.079941 0.079383 0.080977 0.086937 
0.085774 0.079949 0.079390 0.080987 0.086941 
0.085782 0.079950 0.079396 0.080989 0.086958 
0.085792 0.079955 0.079399 0.080990 0.086959 
0.085806 0.079959 0.079400 0.080994 0.086971 
0.085806 0.079966 0.079406 0.081006 0.086976 
0.085810 0.079966 0.079437 0.081008 0.086992 
0.085814 0.079970 0.079438 0.081013 0.086995 
0.085827 0.079971 0.079445 0.081016 0.086997 
0.085827 0.079974 0.079456 0.081031 0.086999 
0.085829 0.079975 0.079481 0.081031 0.086999 
0.085832 0.079985 0.079486 0.081040 0.087000 
0.085836 0.080001 0.079490 0.081058 0.087009 
0.085839 0.080002 0.079497 0.081060 0.087016 
0.085840 0.080010 0.079498 0.081062 0.087018 
0.085843 0.080022 0.079506 0.081067 0.087018 
0.085865 0.080034 0.079509 0.081069 0.087022 
0.085871 0.080035 0.079512 0.081082 0.087032 
0.085876 0.080045 0.079518 0.081083 0.087035 
0.085879 0.080050 0.079534 0.081083 0.087046 
0.085883 0.080053 0.079546 0.081085 0.087056 
0.085913 0.080056 0.079556 0.081087 0.087056 
0.085919 0.080077 0.079564 0.081091 0.087061 
0.085931 0.080080 0.079607 0.081092 0.087067 
0.085941 0.080081 0.079612 0.081095 0.087068 
0.085945 0.080084 0.079626 0.081101 0.087073 
0.085964 0.080085 0.079636 0.081125 0.087074 
0.085972 0.080087 0.079658 0.081126 0.087078 
0.085973 0.080088 0.079684 0.081135 0.087089 
0.086003 0.080098 0.079689 0.081141 0.087090 
0.086013 0.080099 0.079692 0.081152 0.087108 
0.086016 0.080105 0.079704 0.081162 0.087121 
0.086021 0.080105 0.079740 0.081163 0.087128 
0.086025 0.080107 0.079749 0.081165 0.087129 
0.086026 0.080110 0.079755 0.081167 0.087135 
0.086043 0.080116 0.079776 0.081168 0.087136 
0.086044 0.080117 0.079813 0.081169 0.087141 
0.086055 0.080119 0.079881 0.081169 0.087153 
0.086063 0.080119 0.079884 0.081186 0.087161 
0.086072 0.080123 0.079956 0.081204 0.087162 
0.086094 0.080128 0.080093 0.081205 0.087165 
0.086110 0.080133 0.080093 0.081205 0.087168 
0.086122 0.080137 0.080126 0.081215 0.087181 
0.086127 0.080156 0.080173 0.081215 0.087193 
0.086146 0.080162 0.080200 0.081218 0.087201 
0.086149 0.080175 0.080397 0.081223 0.087215 
0.086153 0.080177 0.080692 0.081235 0.087222 
0.086189 0.080191 0.080757 0.081238 0.087222 
0.086199 0.080193 0.080772 0.081249 0.087231 
0.086200 0.080197 0.080779 0.081255 0.087241 
0.086213 0.080203 0.080797 0.081262 0.087243 
0.086214 0.080210 0.080850 0.081267 0.087245 
0.086229 0.080212 0.080906 0.081267 0.087247 
0.086237 0.080216 0.080931 0.081273 0.087261 
0.086262 0.080226 0.080947 0.081284 0.087266 
0.086279 0.080229 0.081151 0.081288 0.087267 
0.086297 0.080242 0.081203 0.081296 0.087268 
0.086339 0.080244 0.081210 0.081297 0.087271 
0.086341 0.080263 0.081253 0.081299 0.087277 
0.086360 0.080283 0.081320 0.081309 0.087277 
0.086459 0.080284 0.081324 0.081313 0.087285 
0.086506 0.080326 0.081382 0.081330 0.087309 
0.086568 0.080344 0.081425 0.081345 0.087309 
0.086644 0.080347 0.081468 0.081348 0.087310 
0.086704 0.080401 0.081566 0.081358 0.087314 
0.086750 0.080403 0.081579 0.081360 0.087323 
0.086973 0.080408 0.081654 0.081377 0.087351 
0.086991 0.080436 0.081663 0.081395 0.087354 
0.087052 0.080443 0.082041 0.081419 0.087358 
0.087143 0.080446 0.082124 0.081424 0.087362 
0.087157 0.080448 0.082601 0.081425 0.087374 
0.087321 0.080507 0.082822 0.081432 0.087376 
0.087392 0.080550 0.082933 0.081440 0.087380 
0.087433 0.080576 0.082934 0.081453 0.087381 
0.087553 0.080698 0.082970 0.081476 0.087399 
0.087920 0.080700 0.083139 0.081480 0.087435 
0.088143 0.080767 0.083345 0.081481 0.087438 
0.088159 0.080773 0.083407 0.081487 0.087450 
0.088374 0.080886 0.083465 0.081513 0.087450 
0.088580 0.080941 0.083610 0.081530 0.087486 
0.089528 0.081234 0.084751 0.081558 0.087492 
0.089604 0.081510 0.085818 0.081568 0.087583 
0.089681 0.082327 0.086077 0.081594 0.087586 
0.089741 0.082410 0.086126 0.081661 0.087592 
0.090439 0.083269 0.086178 0.081752 0.087602 
0.091523 0.083719 0.086245 0.081758 0.087740 
0.093069 0.084635 0.088051 0.081768 0.087893 
0.100301 0.086309 0.088465 0.081882 0.090865 

