std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.030993 0.029434 0.029337 0.029356 0.034462 
0.031061 0.029464 0.029342 0.029366 0.034497 
0.031104 0.029506 0.029371 0.029384 0.034514 
0.031112 0.029527 0.029398 0.029387 0.034521 
0.031114 0.029532 0.029408 0.029392 0.034534 
0.031118 0.029537 0.029420 0.029434 0.034550 
0.031121 0.029539 0.029440 0.029466 0.034573 
0.031124 0.029543 0.029444 0.029474 0.034579 
0.031127 0.029544 0.029475 0.029488 0.034586 
0.031129 0.029548 0.029480 0.029500 0.034592 
0.031139 0.029548 0.029487 0.029524 0.034611 
0.031140 0.029553 0.029488 0.029524 0.034625 
0.031151 0.029555 0.029511 0.029529 0.034625 
0.031159 0.029559 0.029513 0.029531 0.034635 
0.031161 0.029562 0.029514 0.029538 0.034638 
0.031165 0.029566 0.029514 0.029539 0.034639 
0.031172 0.029567 0.029515 0.029539 0.034640 
0.031179 0.029584 0.029515 0.029540 0.034645 
0.031197 0.029595 0.029517 0.029548 0.034649 
0.031198 0.029603 0.029517 0.029549 0.034652 
0.031204 0.029608 0.029519 0.029553 0.034656 
0.031207 0.029608 0.029520 0.029555 0.034659 
0.031209 0.029612 0.029524 0.029556 0.034659 
0.031209 0.029622 0.029529 0.029556 0.034664 
0.031218 0.029625 0.029530 0.029564 0.034666 
0.031225 0.029630 0.029531 0.029565 0.034670 
0.031226 0.029630 0.029532 0.029567 0.034672 
0.031238 0.029630 0.029534 0.029568 0.034689 
0.031245 0.029631 0.029537 0.029569 0.034691 
0.031248 0.029631 0.029538 0.029574 0.034694 
0.031252 0.029632 0.029539 0.029581 0.034696 
0.031254 0.029633 0.029541 0.029582 0.034697 
0.031257 0.029640 0.029541 0.029583 0.034698 
0.031258 0.029645 0.029553 0.029583 0.034699 
0.031261 0.029650 0.029558 0.029583 0.034700 
0.031261 0.029652 0.029559 0.029585 0.034701 
0.031267 0.029653 0.029566 0.029587 0.034704 
0.031278 0.029656 0.029569 0.029593 0.034705 
0.031295 0.029657 0.029570 0.029601 0.034709 
0.031304 0.029657 0.029571 0.029602 0.034710 
0.031307 0.029658 0.029572 0.029603 0.034714 
0.031307 0.029660 0.029574 0.029608 0.034715 
0.031308 0.029662 0.029576 0.029610 0.034716 
0.031326 0.029662 0.029587 0.029611 0.034719 
0.031338 0.029662 0.029588 0.029616 0.034719 
0.031351 0.029667 0.029589 0.029617 0.034724 
0.031381 0.029671 0.029590 0.029617 0.034724 
0.031403 0.029673 0.029593 0.029623 0.034725 
0.031427 0.029675 0.029595 0.029623 0.034729 
0.031439 0.029677 0.029596 0.029624 0.034731 
0.031443 0.029679 0.029602 0.029624 0.034738 
0.031465 0.029680 0.029605 0.029624 0.034739 
0.031485 0.029683 0.029606 0.029628 0.034741 
0.031496 0.029683 0.029615 0.029630 0.034741 
0.031512 0.029685 0.029630 0.029632 0.034744 
0.031526 0.029687 0.029632 0.029634 0.034748 
0.031529 0.029687 0.029638 0.029636 0.034752 
0.031532 0.029694 0.029640 0.029650 0.034753 
0.031539 0.029701 0.029643 0.029655 0.034753 
0.031557 0.029710 0.029647 0.029656 0.034753 
0.031561 0.029714 0.029654 0.029662 0.034754 
0.031597 0.029716 0.029656 0.029665 0.034755 
0.031598 0.029719 0.029668 0.029668 0.034762 
0.031609 0.029721 0.029671 0.029675 0.034779 
0.031652 0.029723 0.029675 0.029681 0.034798 
0.031769 0.029723 0.029677 0.029683 0.034800 
0.031782 0.029738 0.029686 0.029683 0.034802 
0.031783 0.029751 0.029691 0.029683 0.034803 
0.031803 0.029754 0.029694 0.029684 0.034808 
0.031828 0.029759 0.029701 0.029684 0.034822 
0.031865 0.029764 0.029702 0.029685 0.034823 
0.031884 0.029765 0.029703 0.029694 0.034824 
0.031911 0.029765 0.029704 0.029725 0.034827 
0.031947 0.029766 0.029712 0.029731 0.034834 
0.031954 0.029766 0.029715 0.029746 0.034836 
0.031978 0.029767 0.029718 0.029748 0.034846 
0.031992 0.029776 0.029741 0.029753 0.034854 
0.032007 0.029779 0.029747 0.029753 0.034861 
0.032026 0.029807 0.029767 0.029759 0.034885 
0.032089 0.029808 0.029785 0.029764 0.034891 
0.032149 0.029809 0.029787 0.029776 0.034925 
0.032162 0.029814 0.029788 0.029812 0.034925 
0.032175 0.029816 0.029790 0.029830 0.034927 
0.032210 0.029837 0.029822 0.029839 0.034944 
0.032259 0.029845 0.029824 0.029847 0.034957 
0.032277 0.029861 0.029827 0.029862 0.034992 
0.032302 0.029870 0.029836 0.029900 0.035012 
0.032308 0.029879 0.029850 0.029919 0.035022 
0.032312 0.029893 0.029853 0.029926 0.035033 
0.032318 0.029900 0.029861 0.029931 0.035051 
0.032320 0.029904 0.029908 0.029933 0.035057 
0.032332 0.029926 0.029917 0.029940 0.035103 
0.032360 0.029939 0.029924 0.030011 0.035119 
0.032401 0.029942 0.030008 0.030013 0.035130 
0.032407 0.029944 0.030025 0.030021 0.035146 
0.032559 0.029986 0.030047 0.030032 0.035176 
0.032579 0.030031 0.030130 0.030045 0.035183 
0.032760 0.030047 0.030150 0.030108 0.035183 
0.032786 0.030063 0.030419 0.030115 0.035255 
0.043549 0.030599 0.031386 0.030381 0.035451 

