std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.029391 0.028036 0.028014 0.028041 0.033036 
0.029410 0.028038 0.028020 0.028046 0.033048 
0.029418 0.028044 0.028027 0.028046 0.033055 
0.029437 0.028071 0.028033 0.028046 0.033057 
0.029455 0.028074 0.028037 0.028047 0.033077 
0.029457 0.028074 0.028040 0.028050 0.033088 
0.029465 0.028095 0.028045 0.028050 0.033089 
0.029465 0.028097 0.028045 0.028051 0.033094 
0.029467 0.028098 0.028058 0.028051 0.033104 
0.029467 0.028099 0.028062 0.028052 0.033105 
0.029477 0.028102 0.028071 0.028053 0.033106 
0.029487 0.028108 0.028073 0.028053 0.033107 
0.029493 0.028110 0.028082 0.028055 0.033109 
0.029494 0.028114 0.028085 0.028057 0.033109 
0.029509 0.028117 0.028088 0.028057 0.033110 
0.029517 0.028131 0.028089 0.028058 0.033117 
0.029527 0.028143 0.028095 0.028058 0.033125 
0.029530 0.028146 0.028096 0.028059 0.033128 
0.029539 0.028154 0.028098 0.028062 0.033133 
0.029542 0.028154 0.028098 0.028065 0.033135 
0.029545 0.028159 0.028101 0.028066 0.033136 
0.029554 0.028160 0.028102 0.028070 0.033141 
0.029555 0.028161 0.028102 0.028071 0.033142 
0.029557 0.028161 0.028102 0.028074 0.033143 
0.029566 0.028163 0.028103 0.028078 0.033144 
0.029577 0.028164 0.028105 0.028084 0.033147 
0.029585 0.028164 0.028105 0.028085 0.033152 
0.029589 0.028164 0.028105 0.028086 0.033155 
0.029596 0.028169 0.028107 0.028091 0.033159 
0.029597 0.028170 0.028107 0.028094 0.033160 
0.029598 0.028173 0.028108 0.028098 0.033161 
0.029602 0.028175 0.028110 0.028101 0.033165 
0.029610 0.028178 0.028110 0.028104 0.033165 
0.029619 0.028181 0.028111 0.028115 0.033167 
0.029621 0.028183 0.028116 0.028120 0.033176 
0.029624 0.028186 0.028119 0.028122 0.033177 
0.029641 0.028189 0.028121 0.028123 0.033178 
0.029647 0.028190 0.028122 0.028126 0.033182 
0.029649 0.028192 0.028133 0.028126 0.033190 
0.029655 0.028193 0.028133 0.028127 0.033194 
0.029670 0.028206 0.028134 0.028128 0.033195 
0.029676 0.028216 0.028136 0.028131 0.033196 
0.029688 0.028216 0.028137 0.028133 0.033199 
0.029688 0.028217 0.028139 0.028133 0.033201 
0.029702 0.028219 0.028139 0.028134 0.033202 
0.029704 0.028223 0.028142 0.028137 0.033203 
0.029706 0.028230 0.028142 0.028138 0.033204 
0.029719 0.028235 0.028145 0.028141 0.033205 
0.029720 0.028243 0.028149 0.028142 0.033214 
0.029721 0.028244 0.028150 0.028145 0.033218 
0.029722 0.028246 0.028157 0.028147 0.033221 
0.029730 0.028251 0.028162 0.028148 0.033223 
0.029733 0.028255 0.028164 0.028149 0.033225 
0.029777 0.028255 0.028166 0.028156 0.033236 
0.029781 0.028257 0.028173 0.028170 0.033239 
0.029798 0.028258 0.028178 0.028175 0.033240 
0.029801 0.028264 0.028185 0.028176 0.033245 
0.029879 0.028276 0.028186 0.028192 0.033254 
0.029906 0.028295 0.028195 0.028195 0.033259 
0.029907 0.028295 0.028198 0.028199 0.033263 
0.029921 0.028300 0.028203 0.028200 0.033270 
0.029922 0.028303 0.028204 0.028203 0.033271 
0.029958 0.028307 0.028206 0.028207 0.033276 
0.029977 0.028314 0.028208 0.028208 0.033276 
0.029986 0.028325 0.028215 0.028208 0.033285 
0.029999 0.028333 0.028216 0.028213 0.033290 
0.030014 0.028335 0.028225 0.028214 0.033292 
0.030014 0.028340 0.028225 0.028215 0.033296 
0.030037 0.028345 0.028232 0.028218 0.033298 
0.030039 0.028349 0.028235 0.028220 0.033299 
0.030042 0.028352 0.028270 0.028222 0.033311 
0.030062 0.028353 0.028278 0.028223 0.033318 
0.030170 0.028388 0.028288 0.028229 0.033326 
0.030171 0.028441 0.028288 0.028235 0.033339 
0.030176 0.028441 0.028294 0.028255 0.033348 
0.030214 0.028447 0.028295 0.028256 0.033354 
0.030231 0.028456 0.028296 0.028260 0.033356 
0.030241 0.028456 0.028299 0.028265 0.033359 
0.030254 0.028485 0.028300 0.028281 0.033362 
0.030264 0.028510 0.028303 0.028285 0.033368 
0.030276 0.028531 0.028308 0.028287 0.033379 
0.030277 0.028541 0.028356 0.028292 0.033393 
0.030284 0.028551 0.028381 0.028305 0.033406 
0.030370 0.028573 0.028383 0.028330 0.033415 
0.030398 0.028578 0.028384 0.028341 0.033418 
0.030427 0.028622 0.028388 0.028350 0.033430 
0.030453 0.028727 0.028406 0.028354 0.033482 
0.030463 0.028745 0.028406 0.028370 0.033497 
0.030463 0.028812 0.028417 0.028373 0.033498 
0.030468 0.028834 0.028418 0.028375 0.033592 
0.030501 0.028846 0.028441 0.028386 0.033613 
0.030541 0.028863 0.028463 0.028408 0.033617 
0.030562 0.028864 0.028475 0.028429 0.033636 
0.030565 0.028918 0.028475 0.028433 0.033643 
0.030574 0.028951 0.028480 0.028568 0.033762 
0.030586 0.028978 0.028487 0.028635 0.033763 
0.030837 0.029030 0.028557 0.028655 0.033786 
0.030953 0.029140 0.028557 0.028763 0.033792 
0.031095 0.029200 0.028586 0.028877 0.033805 
0.044039 0.029644 0.028589 0.029078 0.034083 

