#std std_nospill safe safe_nospill data simplified 
0.181787 0.171775 0.182309 0.175278 0.170465 0.173472 
0.182035 0.171861 0.182457 0.175470 0.170515 0.173497 
0.182086 0.171904 0.182468 0.175507 0.170735 0.173500 
0.182091 0.171909 0.182522 0.175527 0.170736 0.173542 
0.182098 0.171964 0.182523 0.175560 0.170738 0.173551 
0.182107 0.171986 0.182526 0.175569 0.170759 0.173562 
0.182108 0.171992 0.182565 0.175582 0.170788 0.173621 
0.182128 0.172009 0.182566 0.175615 0.170799 0.173646 
0.182153 0.172009 0.182571 0.175622 0.170831 0.173683 
0.182178 0.172012 0.182575 0.175626 0.170833 0.173688 
0.182189 0.172022 0.182577 0.175627 0.170843 0.173702 
0.182189 0.172027 0.182580 0.175629 0.170867 0.173709 
0.182192 0.172031 0.182594 0.175633 0.170871 0.173727 
0.182215 0.172076 0.182596 0.175633 0.170884 0.173731 
0.182216 0.172091 0.182603 0.175633 0.170921 0.173734 
0.182219 0.172095 0.182604 0.175640 0.170921 0.173734 
0.182221 0.172102 0.182605 0.175643 0.170922 0.173756 
0.182233 0.172107 0.182615 0.175656 0.170928 0.173764 
0.182238 0.172112 0.182618 0.175673 0.170939 0.173767 
0.182256 0.172112 0.182619 0.175673 0.170946 0.173771 
0.182256 0.172113 0.182621 0.175692 0.170951 0.173784 
0.182261 0.172114 0.182624 0.175694 0.170964 0.173798 
0.182263 0.172119 0.182633 0.175707 0.170972 0.173801 
0.182288 0.172121 0.182639 0.175707 0.170983 0.173802 
0.182314 0.172141 0.182659 0.175708 0.170994 0.173803 
0.182318 0.172145 0.182659 0.175711 0.170994 0.173804 
0.182325 0.172146 0.182660 0.175715 0.170995 0.173809 
0.182338 0.172155 0.182669 0.175724 0.171008 0.173815 
0.182362 0.172157 0.182686 0.175726 0.171036 0.173816 
0.182363 0.172162 0.182689 0.175726 0.171038 0.173824 
0.182382 0.172163 0.182689 0.175746 0.171041 0.173829 
0.182397 0.172168 0.182691 0.175746 0.171049 0.173849 
0.182426 0.172171 0.182694 0.175750 0.171051 0.173849 
0.182427 0.172180 0.182708 0.175778 0.171058 0.173856 
0.182430 0.172184 0.182710 0.175779 0.171064 0.173856 
0.182441 0.172185 0.182715 0.175780 0.171071 0.173857 
0.182445 0.172186 0.182715 0.175782 0.171078 0.173859 
0.182450 0.172186 0.182718 0.175787 0.171079 0.173863 
0.182460 0.172189 0.182720 0.175791 0.171082 0.173864 
0.182474 0.172192 0.182737 0.175795 0.171083 0.173871 
0.182477 0.172192 0.182739 0.175795 0.171083 0.173875 
0.182479 0.172193 0.182743 0.175813 0.171085 0.173881 
0.182479 0.172194 0.182747 0.175816 0.171085 0.173890 
0.182485 0.172198 0.182757 0.175823 0.171091 0.173891 
0.182491 0.172199 0.182759 0.175824 0.171094 0.173894 
0.182493 0.172199 0.182762 0.175825 0.171095 0.173895 
0.182495 0.172199 0.182765 0.175834 0.171095 0.173902 
0.182497 0.172202 0.182765 0.175835 0.171099 0.173909 
0.182502 0.172202 0.182769 0.175838 0.171108 0.173912 
0.182508 0.172203 0.182770 0.175844 0.171112 0.173914 
0.182516 0.172205 0.182774 0.175845 0.171112 0.173915 
0.182519 0.172209 0.182782 0.175854 0.171112 0.173915 
0.182525 0.172219 0.182783 0.175864 0.171115 0.173917 
0.182527 0.172224 0.182786 0.175866 0.171119 0.173919 
0.182529 0.172231 0.182788 0.175867 0.171121 0.173921 
0.182530 0.172234 0.182790 0.175868 0.171124 0.173928 
0.182533 0.172237 0.182793 0.175871 0.171125 0.173932 
0.182538 0.172239 0.182794 0.175878 0.171127 0.173933 
0.182538 0.172242 0.182794 0.175882 0.171127 0.173936 
0.182538 0.172246 0.182794 0.175883 0.171132 0.173937 
0.182541 0.172248 0.182796 0.175884 0.171134 0.173937 
0.182546 0.172251 0.182797 0.175884 0.171138 0.173938 
0.182547 0.172252 0.182798 0.175885 0.171140 0.173942 
0.182548 0.172253 0.182802 0.175887 0.171144 0.173945 
0.182549 0.172256 0.182804 0.175896 0.171145 0.173948 
0.182552 0.172260 0.182805 0.175906 0.171147 0.173948 
0.182553 0.172260 0.182807 0.175910 0.171148 0.173954 
0.182584 0.172264 0.182808 0.175910 0.171149 0.173955 
0.182585 0.172264 0.182821 0.175911 0.171155 0.173957 
0.182587 0.172266 0.182823 0.175912 0.171155 0.173958 
0.182592 0.172267 0.182823 0.175914 0.171159 0.173960 
0.182594 0.172269 0.182827 0.175915 0.171159 0.173960 
0.182596 0.172269 0.182828 0.175916 0.171160 0.173963 
0.182598 0.172269 0.182830 0.175917 0.171166 0.173964 
0.182624 0.172275 0.182831 0.175917 0.171168 0.173965 
0.182631 0.172281 0.182837 0.175918 0.171169 0.173972 
0.182632 0.172281 0.182837 0.175919 0.171169 0.173974 
0.182650 0.172282 0.182841 0.175921 0.171170 0.173979 
0.182650 0.172283 0.182844 0.175922 0.171172 0.173980 
0.182651 0.172285 0.182846 0.175922 0.171172 0.173986 
0.182656 0.172287 0.182848 0.175923 0.171174 0.173989 
0.182656 0.172293 0.182850 0.175924 0.171175 0.173996 
0.182657 0.172295 0.182856 0.175928 0.171177 0.173996 
0.182658 0.172295 0.182857 0.175930 0.171179 0.174002 
0.182658 0.172297 0.182860 0.175930 0.171182 0.174011 
0.182666 0.172298 0.182861 0.175930 0.171183 0.174011 
0.182678 0.172299 0.182864 0.175933 0.171185 0.174012 
0.182694 0.172301 0.182868 0.175935 0.171187 0.174013 
0.182695 0.172301 0.182868 0.175936 0.171188 0.174015 
0.182700 0.172301 0.182870 0.175938 0.171188 0.174019 
0.182701 0.172306 0.182872 0.175942 0.171189 0.174019 
0.182702 0.172306 0.182877 0.175943 0.171191 0.174021 
0.182710 0.172310 0.182881 0.175944 0.171191 0.174022 
0.182718 0.172312 0.182882 0.175945 0.171191 0.174022 
0.182719 0.172313 0.182883 0.175946 0.171193 0.174023 
0.182725 0.172314 0.182883 0.175948 0.171194 0.174027 
0.182728 0.172316 0.182884 0.175949 0.171195 0.174027 
0.182728 0.172327 0.182889 0.175950 0.171201 0.174027 
0.182731 0.172327 0.182889 0.175954 0.171204 0.174036 
0.182741 0.172327 0.182889 0.175964 0.171204 0.174040 
0.182747 0.172328 0.182892 0.175965 0.171205 0.174045 
0.182748 0.172329 0.182892 0.175966 0.171206 0.174046 
0.182752 0.172334 0.182892 0.175967 0.171208 0.174047 
0.182761 0.172335 0.182895 0.175968 0.171208 0.174049 
0.182762 0.172339 0.182897 0.175969 0.171210 0.174051 
0.182764 0.172340 0.182900 0.175969 0.171211 0.174051 
0.182764 0.172342 0.182901 0.175969 0.171214 0.174051 
0.182765 0.172344 0.182902 0.175970 0.171215 0.174058 
0.182768 0.172344 0.182903 0.175970 0.171216 0.174058 
0.182772 0.172344 0.182904 0.175970 0.171216 0.174058 
0.182772 0.172345 0.182905 0.175972 0.171219 0.174060 
0.182778 0.172346 0.182906 0.175974 0.171220 0.174062 
0.182784 0.172346 0.182908 0.175975 0.171223 0.174063 
0.182786 0.172349 0.182908 0.175977 0.171226 0.174065 
0.182787 0.172351 0.182909 0.175980 0.171227 0.174065 
0.182788 0.172353 0.182909 0.175984 0.171227 0.174067 
0.182795 0.172356 0.182911 0.175984 0.171230 0.174067 
0.182803 0.172358 0.182911 0.175987 0.171232 0.174071 
0.182808 0.172359 0.182912 0.175987 0.171234 0.174077 
0.182818 0.172360 0.182913 0.175989 0.171235 0.174078 
0.182818 0.172363 0.182913 0.175989 0.171235 0.174080 
0.182825 0.172364 0.182914 0.175989 0.171238 0.174084 
0.182829 0.172364 0.182915 0.175990 0.171239 0.174085 
0.182831 0.172364 0.182916 0.175990 0.171240 0.174087 
0.182834 0.172367 0.182918 0.175993 0.171241 0.174087 
0.182836 0.172372 0.182919 0.175995 0.171245 0.174089 
0.182838 0.172374 0.182921 0.175995 0.171245 0.174089 
0.182840 0.172377 0.182922 0.175997 0.171250 0.174090 
0.182843 0.172380 0.182922 0.175998 0.171252 0.174092 
0.182850 0.172381 0.182924 0.176001 0.171252 0.174093 
0.182850 0.172383 0.182924 0.176001 0.171253 0.174096 
0.182856 0.172384 0.182926 0.176001 0.171254 0.174098 
0.182860 0.172385 0.182926 0.176002 0.171257 0.174098 
0.182869 0.172385 0.182928 0.176005 0.171257 0.174101 
0.182876 0.172386 0.182929 0.176007 0.171258 0.174103 
0.182876 0.172389 0.182929 0.176009 0.171259 0.174104 
0.182877 0.172389 0.182931 0.176010 0.171259 0.174104 
0.182879 0.172391 0.182931 0.176011 0.171260 0.174105 
0.182879 0.172392 0.182932 0.176014 0.171260 0.174108 
0.182884 0.172394 0.182932 0.176014 0.171262 0.174110 
0.182887 0.172394 0.182933 0.176015 0.171263 0.174111 
0.182890 0.172395 0.182933 0.176016 0.171265 0.174113 
0.182890 0.172396 0.182933 0.176019 0.171267 0.174118 
0.182891 0.172397 0.182934 0.176020 0.171269 0.174118 
0.182897 0.172398 0.182936 0.176022 0.171275 0.174119 
0.182898 0.172398 0.182937 0.176023 0.171281 0.174120 
0.182908 0.172399 0.182938 0.176023 0.171283 0.174120 
0.182911 0.172399 0.182940 0.176023 0.171283 0.174121 
0.182911 0.172400 0.182940 0.176024 0.171284 0.174122 
0.182914 0.172403 0.182944 0.176024 0.171284 0.174124 
0.182915 0.172404 0.182944 0.176024 0.171284 0.174124 
0.182921 0.172405 0.182947 0.176025 0.171286 0.174126 
0.182928 0.172406 0.182948 0.176025 0.171286 0.174127 
0.182928 0.172410 0.182949 0.176027 0.171286 0.174128 
0.182931 0.172414 0.182950 0.176030 0.171288 0.174131 
0.182931 0.172414 0.182951 0.176031 0.171289 0.174132 
0.182932 0.172415 0.182953 0.176031 0.171290 0.174135 
0.182934 0.172420 0.182953 0.176032 0.171291 0.174135 
0.182939 0.172420 0.182953 0.176032 0.171291 0.174138 
0.182948 0.172421 0.182953 0.176033 0.171293 0.174141 
0.182952 0.172421 0.182954 0.176034 0.171297 0.174142 
0.182958 0.172424 0.182954 0.176035 0.171298 0.174142 
0.182959 0.172425 0.182958 0.176036 0.171299 0.174144 
0.182959 0.172425 0.182960 0.176036 0.171299 0.174145 
0.182963 0.172426 0.182961 0.176039 0.171299 0.174147 
0.182964 0.172427 0.182962 0.176040 0.171303 0.174147 
0.182964 0.172427 0.182964 0.176043 0.171303 0.174147 
0.182965 0.172428 0.182964 0.176043 0.171306 0.174149 
0.182966 0.172428 0.182965 0.176043 0.171306 0.174150 
0.182969 0.172432 0.182965 0.176043 0.171307 0.174152 
0.182970 0.172434 0.182965 0.176044 0.171309 0.174153 
0.182972 0.172434 0.182966 0.176044 0.171312 0.174155 
0.182975 0.172434 0.182966 0.176047 0.171312 0.174157 
0.182978 0.172437 0.182966 0.176047 0.171316 0.174158 
0.182981 0.172437 0.182967 0.176047 0.171317 0.174158 
0.182984 0.172439 0.182967 0.176049 0.171318 0.174159 
0.182986 0.172440 0.182968 0.176050 0.171322 0.174160 
0.182987 0.172440 0.182968 0.176050 0.171323 0.174160 
0.182989 0.172442 0.182970 0.176051 0.171324 0.174162 
0.182990 0.172444 0.182971 0.176052 0.171326 0.174162 
0.182992 0.172448 0.182971 0.176057 0.171327 0.174166 
0.182992 0.172449 0.182972 0.176057 0.171327 0.174166 
0.182993 0.172456 0.182973 0.176057 0.171327 0.174167 
0.183001 0.172456 0.182973 0.176057 0.171329 0.174167 
0.183003 0.172457 0.182974 0.176058 0.171330 0.174167 
0.183005 0.172461 0.182975 0.176058 0.171330 0.174168 
0.183005 0.172463 0.182977 0.176061 0.171333 0.174172 
