#std std_nospill safe safe_nospill data simplified 
0.136015 0.125616 0.151563 0.149407 0.124558 0.125887 
0.136309 0.125891 0.151657 0.149667 0.124629 0.125907 
0.136326 0.125903 0.151677 0.149757 0.124642 0.126010 
0.136435 0.125916 0.151678 0.149797 0.124643 0.126017 
0.136498 0.126037 0.151830 0.149803 0.124655 0.126020 
0.136514 0.126050 0.151910 0.149947 0.124662 0.126039 
0.136612 0.126051 0.151950 0.149949 0.124668 0.126041 
0.136639 0.126081 0.151987 0.149977 0.124673 0.126042 
0.136675 0.126094 0.152006 0.150023 0.124714 0.126062 
0.136682 0.126101 0.152029 0.150024 0.124716 0.126066 
0.136683 0.126169 0.152036 0.150188 0.124716 0.126082 
0.136699 0.126178 0.152053 0.150212 0.124744 0.126083 
0.136735 0.126186 0.152104 0.150216 0.124748 0.126085 
0.136789 0.126187 0.152198 0.150225 0.124762 0.126086 
0.136793 0.126189 0.152213 0.150226 0.124766 0.126086 
0.136859 0.126204 0.152218 0.150232 0.124767 0.126087 
0.136939 0.126223 0.152248 0.150247 0.124770 0.126088 
0.136941 0.126260 0.152264 0.150274 0.124771 0.126095 
0.136955 0.126276 0.152265 0.150278 0.124776 0.126109 
0.136985 0.126283 0.152298 0.150294 0.124783 0.126112 
0.136998 0.126293 0.152339 0.150347 0.124796 0.126127 
0.137038 0.126303 0.152349 0.150353 0.124815 0.126131 
0.137046 0.126313 0.152380 0.150370 0.124827 0.126133 
0.137050 0.126350 0.152382 0.150373 0.124835 0.126140 
0.137050 0.126351 0.152408 0.150378 0.124880 0.126140 
0.137052 0.126389 0.152410 0.150380 0.124880 0.126153 
0.137071 0.126389 0.152420 0.150384 0.124895 0.126158 
0.137071 0.126457 0.152424 0.150452 0.124909 0.126158 
0.137112 0.126467 0.152425 0.150458 0.124914 0.126165 
0.137117 0.126468 0.152434 0.150466 0.124915 0.126173 
0.137119 0.126468 0.152448 0.150558 0.124932 0.126177 
0.137167 0.126469 0.152480 0.150595 0.124937 0.126179 
0.137176 0.126478 0.152480 0.150597 0.124941 0.126185 
0.137201 0.126505 0.152484 0.150598 0.124949 0.126218 
0.137221 0.126550 0.152498 0.150612 0.124963 0.126225 
0.137231 0.126552 0.152499 0.150615 0.124963 0.126240 
0.137248 0.126558 0.152526 0.150648 0.124970 0.126240 
0.137249 0.126562 0.152544 0.150655 0.124973 0.126245 
0.137269 0.126563 0.152546 0.150693 0.124989 0.126249 
0.137281 0.126571 0.152587 0.150706 0.124995 0.126256 
0.137319 0.126578 0.152592 0.150717 0.124995 0.126262 
0.137327 0.126579 0.152599 0.150741 0.124997 0.126269 
0.137333 0.126589 0.152613 0.150741 0.125011 0.126272 
0.137333 0.126589 0.152624 0.150744 0.125018 0.126274 
0.137343 0.126596 0.152696 0.150767 0.125019 0.126274 
